Date,Open,High,Low,Close,Adj Close,Volume,Name
19/03/2021,646.599.976,657.229.980,624.619.995,654.869.995,654.869.995,42894000,TLSA
22/03/2021,684.590.027,699.619.995,668.750.000,670.000.000,670.000.000,39512200,TLSA
23/03/2021,675.770.020,677.799.988,657.510.010,662.159.973,662.159.973,30491900,TLSA
24/03/2021,667.909.973,668.020.020,630.109.985,630.270.020,630.270.020,33795200,TLSA
25/03/2021,613.000.000,645.500.000,609.500.000,640.390.015,640.390.015,39224900,TLSA
26/03/2021,641.869.995,643.820.007,599.890.015,618.710.022,618.710.022,33852800,TLSA
29/03/2021,615.640.015,616.479.980,596.020.020,611.289.978,611.289.978,28637000,TLSA
30/03/2021,601.750.000,637.659.973,591.010.010,635.619.995,635.619.995,39432400,TLSA
31/03/2021,646.619.995,672.000.000,641.109.985,667.929.993,667.929.993,33337300,TLSA
1/04/2021,688.369.995,692.419.983,659.419.983,661.750.000,661.750.000,35298400,TLSA
5/04/2021,707.710.022,708.159.973,684.700.012,691.049.988,691.049.988,41842800,TLSA
6/04/2021,690.299.988,696.549.988,681.369.995,691.619.995,691.619.995,28271800,TLSA
7/04/2021,687.000.000,691.380.005,667.840.027,670.969.971,670.969.971,26309400,TLSA
8/04/2021,677.380.005,689.549.988,671.650.024,683.799.988,683.799.988,23924300,TLSA
9/04/2021,677.770.020,680.969.971,669.429.993,677.020.020,677.020.020,21437100,TLSA
12/04/2021,685.700.012,704.799.988,682.090.027,701.979.980,701.979.980,29135700,TLSA
13/04/2021,712.700.012,763.000.000,710.659.973,762.320.007,762.320.007,44652800,TLSA
14/04/2021,770.700.012,780.789.978,728.030.029,732.229.980,732.229.980,49017400,TLSA
15/04/2021,743.099.976,743.690.002,721.309.998,738.849.976,738.849.976,27848900,TLSA
16/04/2021,728.650.024,749.409.973,724.599.976,739.780.029,739.780.029,27979500,TLSA
19/04/2021,719.599.976,725.400.024,691.799.988,714.630.005,714.630.005,39686200,TLSA
20/04/2021,717.419.983,737.250.000,710.690.002,718.989.990,718.989.990,35609000,TLSA
21/04/2021,704.770.020,744.840.027,698.000.000,744.119.995,744.119.995,31215500,TLSA
22/04/2021,741.500.000,753.770.020,718.039.978,719.690.002,719.690.002,35590300,TLSA
23/04/2021,719.799.988,737.359.985,715.460.022,729.400.024,729.400.024,28370000,TLSA
26/04/2021,741.000.000,749.299.988,732.609.985,738.200.012,738.200.012,31038500,TLSA
27/04/2021,717.960.022,724.000.000,703.349.976,704.739.990,704.739.990,29437000,TLSA
28/04/2021,696.409.973,708.500.000,693.599.976,694.400.024,694.400.024,22271000,TLSA
29/04/2021,699.510.010,702.250.000,668.500.000,677.000.000,677.000.000,28845400,TLSA
30/04/2021,667.590.027,715.469.971,666.140.015,709.440.002,709.440.002,40758700,TLSA
3/05/2021,703.799.988,706.000.000,680.500.000,684.900.024,684.900.024,27043100,TLSA
4/05/2021,678.940.002,683.450.012,657.700.012,673.599.976,673.599.976,29739300,TLSA
5/05/2021,681.059.998,685.299.988,667.340.027,670.940.002,670.940.002,21901900,TLSA
6/05/2021,680.760.010,681.020.020,650.000.000,663.539.978,663.539.978,27784600,TLSA
7/05/2021,665.799.988,690.000.000,660.219.971,672.369.995,672.369.995,23469200,TLSA
10/05/2021,664.900.024,665.049.988,627.609.985,629.039.978,629.039.978,31392400,TLSA
11/05/2021,599.239.990,627.099.976,595.599.976,617.200.012,617.200.012,46503900,TLSA
12/05/2021,602.489.990,620.409.973,586.770.020,589.890.015,589.890.015,33823600,TLSA
13/05/2021,601.539.978,606.460.022,559.650.024,571.690.002,571.690.002,44184900,TLSA
14/05/2021,583.409.973,592.869.995,570.460.022,589.739.990,589.739.990,33370900,TLSA
17/05/2021,575.549.988,589.729.980,561.200.012,576.830.017,576.830.017,32390400,TLSA
18/05/2021,568.000.000,596.250.000,563.380.005,577.869.995,577.869.995,36830600,TLSA
19/05/2021,552.549.988,566.210.022,546.979.980,563.460.022,563.460.022,39578400,TLSA
20/05/2021,575.000.000,588.849.976,571.070.007,586.780.029,586.780.029,30821100,TLSA
21/05/2021,596.109.985,596.679.993,580.000.000,580.880.005,580.880.005,26030600,TLSA
24/05/2021,581.599.976,614.479.980,573.650.024,606.440.002,606.440.002,34558100,TLSA
25/05/2021,607.309.998,613.989.990,595.710.022,604.690.002,604.690.002,28005900,TLSA
26/05/2021,607.559.998,626.169.983,601.500.000,619.130.005,619.130.005,28639300,TLSA
27/05/2021,620.239.990,631.130.005,616.210.022,630.849.976,630.849.976,26370600,TLSA
28/05/2021,628.500.000,635.590.027,622.380.005,625.219.971,625.219.971,22737000,TLSA
1/06/2021,627.799.988,633.799.988,620.549.988,623.900.024,623.900.024,18084900,TLSA
2/06/2021,620.130.005,623.359.985,599.140.015,605.119.995,605.119.995,23302800,TLSA
3/06/2021,601.799.988,604.549.988,571.219.971,572.840.027,572.840.027,30111900,TLSA
4/06/2021,579.710.022,600.609.985,577.200.012,599.049.988,599.049.988,24036900,TLSA
7/06/2021,591.830.017,610.000.000,582.880.005,605.130.005,605.130.005,22543700,TLSA
8/06/2021,623.010.010,623.090.027,595.500.000,603.590.027,603.590.027,26053400,TLSA
9/06/2021,602.169.983,611.789.978,597.630.005,598.780.029,598.780.029,16584600,TLSA
10/06/2021,603.880.005,616.590.027,600.500.000,610.119.995,610.119.995,23919600,TLSA
11/06/2021,610.229.980,612.559.998,601.520.020,609.890.015,609.890.015,16205300,TLSA
14/06/2021,612.229.980,625.489.990,609.179.993,617.690.002,617.690.002,20424000,TLSA
15/06/2021,616.690.002,616.789.978,598.229.980,599.359.985,599.359.985,17764100,TLSA
16/06/2021,597.539.978,608.500.000,593.500.000,604.869.995,604.869.995,22144100,TLSA
17/06/2021,601.890.015,621.469.971,601.340.027,616.599.976,616.599.976,22701400,TLSA
